,person_dim_id,vehicle_count,hhincome_broad,car_share,numadults,numchildren,age_category,gender,employment,education,license,o_tract10
75,1710068102,1 vehicle,"$100,000 or more",No,2,0,18-64 years,Female,"Employed full time (35+ hours/week, paid)",Graduate/post-graduate degree,"Yes, has an intermediate or unrestricted license",53033001200.0
76,1710071701,0 (no vehicles),"Under $25,000",Yes,1,0,18-64 years,Male,Retired,Bachelor degree,"Yes, has an intermediate or unrestricted license",53033011300.0
77,1710073901,1 vehicle,"$50,000-$74,999",No,3,0,18-64 years,Female,Retired,Some college,"Yes, has an intermediate or unrestricted license",53053072800.0
78,1710073903,1 vehicle,"$50,000-$74,999",No,3,0,65 years+,Female,Not currently employed,High school graduate,"No, does not have a license or permit",53053072800.0
79,1710076001,3 vehicles,"$100,000 or more",No,3,1,18-64 years,Male,"Employed part time (fewer than 35 hours/week, paid)",Less than high school,"Yes, has an intermediate or unrestricted license",53033011101.0
80,1710076002,3 vehicles,"$100,000 or more",No,3,1,18-64 years,Female,"Employed full time (35+ hours/week, paid)",Less than high school,"Yes, has an intermediate or unrestricted license",53033011101.0
81,1710076003,3 vehicles,"$100,000 or more",No,3,1,Under 18 years,Female,Unknown,Unknown,"No, does not have a license or permit",53033011101.0
82,1710076004,3 vehicles,"$100,000 or more",No,3,1,18-64 years,Male,Not currently employed,Some college,"Yes, has an intermediate or unrestricted license",53033011101.0
83,1710076101,2 vehicles,"$100,000 or more",No,2,2,18-64 years,Female,Homemaker,Graduate/post-graduate degree,"Yes, has an intermediate or unrestricted license",53033032321.0
84,1710076103,2 vehicles,"$100,000 or more",No,2,2,Under 18 years,Female,Unknown,Unknown,Unknown,53033032321.0
85,1710076104,2 vehicles,"$100,000 or more",No,2,2,Under 18 years,Male,Unknown,Unknown,Unknown,53033032321.0
86,1710078901,1 vehicle,"$100,000 or more",No,2,1,18-64 years,Male,"Employed full time (35+ hours/week, paid)",Graduate/post-graduate degree,"Yes, has an intermediate or unrestricted license",53033024800.0
87,1710078903,1 vehicle,"$100,000 or more",No,2,1,Under 18 years,Male,Unknown,Unknown,Unknown,53033024800.0
88,1710079401,1 vehicle,Unknown,No,3,0,18-64 years,Female,Not currently employed,Graduate/post-graduate degree,"Yes, has an intermediate or unrestricted license",53033032324.0
89,1710080001,1 vehicle,"$100,000 or more",No,1,0,18-64 years,Male,"Employed full time (35+ hours/week, paid)",Some college,"Yes, has an intermediate or unrestricted license",53033032324.0
90,1710080701,1 vehicle,"$50,000-$74,999",No,1,0,18-64 years,Male,Self-employed,Graduate/post-graduate degree,"Yes, has an intermediate or unrestricted license",53033009600.0
91,1710081801,1 vehicle,"$25,000-$49,999",No,1,0,18-64 years,Male,"Employed full time (35+ hours/week, paid)",Some college,"Yes, has an intermediate or unrestricted license",53033000401.0
92,1710082201,1 vehicle,"$100,000 or more",Yes,2,0,18-64 years,Male,"Employed full time (35+ hours/week, paid)",Graduate/post-graduate degree,"Yes, has an intermediate or unrestricted license",53033008100.0
93,1710083401,0 (no vehicles),"$25,000-$49,999",No,2,0,18-64 years,Female,Not currently employed,Some college,"No, does not have a license or permit",53033007402.0
94,1710083402,0 (no vehicles),"$25,000-$49,999",No,2,0,18-64 years,Male,"Employed part time (fewer than 35 hours/week, paid)",Some college,"Yes, has an intermediate or unrestricted license",53033022803.0
95,1710083601,2 vehicles,"$100,000 or more",No,2,1,18-64 years,Male,"Employed full time (35+ hours/week, paid)",Associates degree,"Yes, has an intermediate or unrestricted license",53033004900.0
96,1710083602,2 vehicles,"$100,000 or more",No,2,1,18-64 years,Female,"Employed full time (35+ hours/week, paid)",Bachelor degree,"Yes, has an intermediate or unrestricted license",53033004900.0
97,1710083603,2 vehicles,"$100,000 or more",No,2,1,Under 18 years,Female,Unknown,Unknown,Unknown,53033004900.0
98,1710083701,2 vehicles,"$50,000-$74,999",Yes,1,0,18-64 years,Female,"Employed full time (35+ hours/week, paid)",Associates degree,"Yes, has an intermediate or unrestricted license",53033007500.0
99,1710085901,1 vehicle,"$100,000 or more",No,2,0,18-64 years,Male,"Employed full time (35+ hours/week, paid)",Bachelor degree,"Yes, has an intermediate or unrestricted license",53033007000.0
100,1710085902,1 vehicle,"$100,000 or more",No,2,0,18-64 years,Female,"Employed full time (35+ hours/week, paid)",Bachelor degree,"Yes, has an intermediate or unrestricted license",53033007000.0
101,1710086801,0 (no vehicles),"$100,000 or more",Yes,2,0,18-64 years,Female,"Employed full time (35+ hours/week, paid)",Graduate/post-graduate degree,"Yes, has an intermediate or unrestricted license",53033008100.0
102,1710086802,0 (no vehicles),"$100,000 or more",Yes,2,0,18-64 years,Male,"Employed full time (35+ hours/week, paid)",Vocational/technical training,"Yes, has an intermediate or unrestricted license",53033007200.0
103,1710088901,1 vehicle,"$100,000 or more",No,1,0,18-64 years,Female,"Employed full time (35+ hours/week, paid)",Bachelor degree,"Yes, has an intermediate or unrestricted license",53033032309.0
104,1710089201,1 vehicle,"$100,000 or more",No,2,0,18-64 years,Male,"Employed full time (35+ hours/week, paid)",Graduate/post-graduate degree,"Yes, has an intermediate or unrestricted license",53033032309.0
105,1710089202,1 vehicle,"$100,000 or more",No,2,0,18-64 years,Female,Not currently employed,Bachelor degree,"Yes, has an intermediate or unrestricted license",53033032309.0
106,1710090701,1 vehicle,Unknown,Yes,1,0,18-64 years,Unknown,"Employed full time (35+ hours/week, paid)",Bachelor degree,"Yes, has an intermediate or unrestricted license",53033004900.0
107,1710090801,1 vehicle,"$50,000-$74,999",No,1,0,18-64 years,Male,"Employed full time (35+ hours/week, paid)",Bachelor degree,"Yes, has an intermediate or unrestricted license",53033011200.0
108,1710092401,0 (no vehicles),"$100,000 or more",No,3,0,65 years+,Female,Retired,Graduate/post-graduate degree,"Yes, has an intermediate or unrestricted license",53033008700.0
109,1710092402,0 (no vehicles),"$100,000 or more",No,3,0,18-64 years,Male,Not currently employed,Some college,"Yes, has an intermediate or unrestricted license",53033008700.0
110,1710092403,0 (no vehicles),"$100,000 or more",No,3,0,18-64 years,Female,"Employed full time (35+ hours/week, paid)",High school graduate,"Yes, has an intermediate or unrestricted license",53033008700.0
111,1710093901,2 vehicles,"$100,000 or more",No,2,2,18-64 years,Male,Not currently employed,Graduate/post-graduate degree,"Yes, has an intermediate or unrestricted license",53033000401.0
112,1710093902,2 vehicles,"$100,000 or more",No,2,2,18-64 years,Female,"Employed full time (35+ hours/week, paid)",Graduate/post-graduate degree,"Yes, has an intermediate or unrestricted license",53033000401.0
113,1710093903,2 vehicles,"$100,000 or more",No,2,2,Under 18 years,Male,Unknown,Unknown,Unknown,53033006200.0
114,1710093904,2 vehicles,"$100,000 or more",No,2,2,Under 18 years,Male,Unknown,Unknown,Unknown,53033000401.0
115,1710094201,0 (no vehicles),"$100,000 or more",No,1,0,18-64 years,Female,"Employed full time (35+ hours/week, paid)",Graduate/post-graduate degree,"Yes, has an intermediate or unrestricted license",53033008002.0
116,1710095201,1 vehicle,"$50,000-$74,999",No,2,0,18-64 years,Male,Not currently employed,Some college,"Yes, has an intermediate or unrestricted license",53033023201.0
117,1710095701,0 (no vehicles),"Under $25,000",Yes,2,0,18-64 years,Male,"Employed part time (fewer than 35 hours/week, paid)",Bachelor degree,"Yes, has an intermediate or unrestricted license",53033007500.0
118,1710095702,0 (no vehicles),"Under $25,000",Yes,2,0,18-64 years,Male,"Employed part time (fewer than 35 hours/week, paid)",Bachelor degree,"Yes, has an intermediate or unrestricted license",53033007500.0
119,1710096401,2 vehicles,"$100,000 or more",No,2,0,18-64 years,Male,"Employed full time (35+ hours/week, paid)",Bachelor degree,"Yes, has an intermediate or unrestricted license",53033032309.0
120,1710096402,2 vehicles,"$100,000 or more",No,2,0,18-64 years,Female,"Employed full time (35+ hours/week, paid)",Bachelor degree,"Yes, has an intermediate or unrestricted license",53033032309.0
121,1710098201,1 vehicle,"$100,000 or more",No,1,0,65 years+,Female,Retired,Graduate/post-graduate degree,"Yes, has an intermediate or unrestricted license",53033010900.0
122,1710098401,2 vehicles,"$50,000-$74,999",No,3,0,18-64 years,Female,"Employed full time (35+ hours/week, paid)",Graduate/post-graduate degree,"No, does not have a license or permit",53033003000.0
123,1710098402,2 vehicles,"$50,000-$74,999",No,3,0,18-64 years,Male,"Employed part time (fewer than 35 hours/week, paid)",Associates degree,"Yes, has an intermediate or unrestricted license",53033003000.0
124,1710098601,1 vehicle,"$25,000-$49,999",No,1,0,18-64 years,Female,"Employed part time (fewer than 35 hours/week, paid)",Bachelor degree,"Yes, has an intermediate or unrestricted license",53033002500.0
125,1710099201,1 vehicle,"$75,000-$99,999",No,1,0,18-64 years,Male,"Employed full time (35+ hours/week, paid)",Bachelor degree,"Yes, has an intermediate or unrestricted license",53033032313.0
126,1710101301,0 (no vehicles),"Under $25,000",No,1,0,18-64 years,Female,Not currently employed,High school graduate,"No, does not have a license or permit",53053940003.0
127,1710103101,1 vehicle,"$100,000 or more",No,2,0,18-64 years,Male,"Employed full time (35+ hours/week, paid)",Graduate/post-graduate degree,"Yes, has an intermediate or unrestricted license",53033032309.0
128,1710103102,1 vehicle,"$100,000 or more",No,2,0,18-64 years,Female,Not currently employed,Graduate/post-graduate degree,"Yes, has a learner’s permit",53033032309.0
129,1710104201,0 (no vehicles),"Under $25,000",No,1,0,18-64 years,Male,Not currently employed,Some college,"Yes, has an intermediate or unrestricted license",53033007300.0
130,1710106401,0 (no vehicles),"Under $25,000",No,1,0,18-64 years,Female,Retired,Bachelor degree,"Yes, has an intermediate or unrestricted license",53033011101.0
131,1710107901,0 (no vehicles),"$50,000-$74,999",No,1,0,18-64 years,Female,"Employed full time (35+ hours/week, paid)",Bachelor degree,"No, does not have a license or permit",53053071503.0
132,1710108601,1 vehicle,"$100,000 or more",No,2,1,18-64 years,Female,"Employed full time (35+ hours/week, paid)",Graduate/post-graduate degree,"Yes, has an intermediate or unrestricted license",53033008001.0
133,1710108602,1 vehicle,"$100,000 or more",No,2,1,18-64 years,Male,"Employed full time (35+ hours/week, paid)",Bachelor degree,"Yes, has an intermediate or unrestricted license",53033008200.0
134,1710108603,1 vehicle,"$100,000 or more",No,2,1,Under 18 years,Male,Unknown,Unknown,Unknown,53033008001.0
135,1710112801,2 vehicles,"$100,000 or more",No,2,0,18-64 years,Male,"Employed full time (35+ hours/week, paid)",Some college,"Yes, has an intermediate or unrestricted license",53033001701.0
136,1710112802,2 vehicles,"$100,000 or more",No,2,0,18-64 years,Male,"Employed full time (35+ hours/week, paid)",Bachelor degree,"Yes, has an intermediate or unrestricted license",53033001701.0
137,1710113001,1 vehicle,"$100,000 or more",Yes,1,0,18-64 years,Female,Self-employed,Bachelor degree,"Yes, has an intermediate or unrestricted license",53033005400.0
138,1710117901,2 vehicles,"$25,000-$49,999",Yes,2,0,18-64 years,Female,Not currently employed,Bachelor degree,"Yes, has an intermediate or unrestricted license",53033005301.0
139,1710117902,2 vehicles,"$25,000-$49,999",Yes,2,0,18-64 years,Male,Self-employed,Graduate/post-graduate degree,"Yes, has an intermediate or unrestricted license",53033005301.0
140,1710121301,1 vehicle,"$50,000-$74,999",No,2,0,18-64 years,Female,"Employed part time (fewer than 35 hours/week, paid)",Bachelor degree,"Yes, has an intermediate or unrestricted license",53033030100.0
141,1710121302,1 vehicle,"$50,000-$74,999",No,2,0,18-64 years,Male,"Employed full time (35+ hours/week, paid)",Bachelor degree,"Yes, has an intermediate or unrestricted license",53053061500.0
142,1710122301,4 vehicles,"$100,000 or more",No,2,3,18-64 years,Male,"Employed full time (35+ hours/week, paid)",Graduate/post-graduate degree,"Yes, has an intermediate or unrestricted license",53033009600.0
143,1710122302,4 vehicles,"$100,000 or more",No,2,3,18-64 years,Female,"Employed full time (35+ hours/week, paid)",Graduate/post-graduate degree,"Yes, has an intermediate or unrestricted license",53033009800.0
144,1710122303,4 vehicles,"$100,000 or more",No,2,3,Under 18 years,Female,Unknown,Unknown,Unknown,53033009600.0
145,1710122304,4 vehicles,"$100,000 or more",No,2,3,Under 18 years,Female,Unknown,Unknown,Unknown,53033009600.0
146,1710122305,4 vehicles,"$100,000 or more",No,2,3,Under 18 years,Female,Unknown,Unknown,Unknown,53033009600.0
147,1710123601,0 (no vehicles),"$25,000-$49,999",Yes,1,0,65 years+,Male,Retired,Some college,"Yes, has an intermediate or unrestricted license",53033002600.0
148,1710124001,4 vehicles,"$75,000-$99,999",No,2,0,65 years+,Male,Retired,Some college,"Yes, has an intermediate or unrestricted license",53053071503.0
149,1710124002,4 vehicles,"$75,000-$99,999",No,2,0,65 years+,Female,Self-employed,Vocational/technical training,"Yes, has an intermediate or unrestricted license",53053071503.0
150,1710125001,2 vehicles,"$50,000-$74,999",Yes,2,0,18-64 years,Female,"Employed full time (35+ hours/week, paid)",Graduate/post-graduate degree,"Yes, has an intermediate or unrestricted license",53033010300.0
151,1710125002,2 vehicles,"$50,000-$74,999",Yes,2,0,18-64 years,Male,"Employed full time (35+ hours/week, paid)",Graduate/post-graduate degree,"Yes, has an intermediate or unrestricted license",53033010300.0
152,1710126301,0 (no vehicles),"$75,000-$99,999",Yes,1,0,18-64 years,Male,"Employed full time (35+ hours/week, paid)",Graduate/post-graduate degree,"Yes, has an intermediate or unrestricted license",53033028402.0
153,1710127501,1 vehicle,"Under $25,000",No,1,0,18-64 years,Female,Retired,Bachelor degree,"Yes, has an intermediate or unrestricted license",53033000700.0
154,1710129101,1 vehicle,"$100,000 or more",No,1,0,18-64 years,Male,"Employed full time (35+ hours/week, paid)",Graduate/post-graduate degree,"Yes, has an intermediate or unrestricted license",53033032324.0
155,1710131901,0 (no vehicles),"$25,000-$49,999",No,1,0,18-64 years,Male,"Employed full time (35+ hours/week, paid)",Bachelor degree,"No, does not have a license or permit",53033009100.0
156,1710132501,1 vehicle,"$50,000-$74,999",No,2,0,18-64 years,Male,"Employed full time (35+ hours/week, paid)",Bachelor degree,"Yes, has an intermediate or unrestricted license",53033032208.0
157,1710132502,1 vehicle,"$50,000-$74,999",No,2,0,18-64 years,Female,"Employed full time (35+ hours/week, paid)",Some college,"Yes, has an intermediate or unrestricted license",53033032309.0
158,1710133501,0 (no vehicles),"$50,000-$74,999",No,1,0,18-64 years,Male,"Employed full time (35+ hours/week, paid)",Graduate/post-graduate degree,"No, does not have a license or permit",53033023000.0
159,1710134401,3 vehicles,"$100,000 or more",No,2,1,65 years+,Female,Retired,Bachelor degree,"Yes, has an intermediate or unrestricted license",53033025006.0
160,1710137501,2 vehicles,"$75,000-$99,999",No,2,2,18-64 years,Male,"Employed part time (fewer than 35 hours/week, paid)",Bachelor degree,"Yes, has an intermediate or unrestricted license",53033010300.0
161,1710137502,2 vehicles,"$75,000-$99,999",No,2,2,18-64 years,Female,"Employed full time (35+ hours/week, paid)",Graduate/post-graduate degree,"Yes, has an intermediate or unrestricted license",53033010300.0
